trial,time,id,Date,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,reward,est_mu,est_low,est_high,conf_mu,conf_range,current_task
1,142722,,2022-04-24,6666,6,7,5297.6,training,-6,HL,0,1,img,no,0.0,NA,NA,NA,NA,NA,img
1,142733,,2022-04-24,6666,6,7,388778.39999999997,training,-6,HL,0,0,img,no,-10.0,NA,NA,NA,NA,NA,img
1,143408,,2022-04-24,6666,6,7,705.6,training,-6,HL,0,0,img,no,-2.0,NA,NA,NA,NA,NA,img
1,143414,,2022-04-24,6666,6,7,364.4,training,-6,HL,0,1,img,no,0.0,NA,NA,NA,NA,NA,img
1,143420,,2022-04-24,6666,6,7,4129.6,training,-6,HL,0,0,img,no,-6.0,NA,NA,NA,NA,NA,img
1,143430,,2022-04-24,6666,6,7,372.59999999999997,training,-6,HL,0,1,img,no,0.0,NA,NA,NA,NA,NA,img
1,143436,,2022-04-24,6666,6,7,479.7,training,-6,HL,0,1,img,no,0.0,NA,NA,NA,NA,NA,img
1,143442,,2022-04-24,6666,6,7,372.59999999999997,training,-6,HL,0,0,img,no,-10.0,NA,NA,NA,NA,NA,img
1,143448,,2022-04-24,6666,6,7,703.6,training,-6,HL,0,0,img,no,-6.0,NA,NA,NA,NA,NA,img
1,143454,,2022-04-24,6666,6,7,480.2,training,-6,HL,0,0,img,no,-2.0,NA,NA,NA,NA,NA,img
1,143501,,2022-04-24,6666,6,7,1167.8,training,-6,HL,0,1,img,no,0.0,NA,NA,NA,NA,NA,img
1,143507,,2022-04-24,6666,6,7,778.3,training,-6,HL,0,1,img,no,0.0,NA,NA,NA,NA,NA,img
1,143538,,2022-04-24,0,6,7,3648.8999999999996,training,-6,HL,0,1,img,yes,-3.0,-3.0,-2.0,-10.0,18.8,18.5,img
