trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task
0,190245,,2022-06-02,0.75,6666,1,2,292.4,training,-6,LH,0,1,view,no,-2,NA,NA,NA,NA,NA,view
0,190252,,2022-06-02,0.749,6666,1,2,241.2,training,-6,LH,0,1,view,no,-1,NA,NA,NA,NA,NA,view
0,190258,,2022-06-02,0.706,6666,1,2,319.5,training,-6,LH,0,0,view,no,-9,NA,NA,NA,NA,NA,view
0,190304,,2022-06-02,0.748,6666,1,2,2.0,training,-6,LH,0,0,view,no,-11,NA,NA,NA,NA,NA,view
0,190310,,2022-06-02,0.677,6666,1,2,64.0,training,-6,LH,0,1,view,no,-3,NA,NA,NA,NA,NA,view
0,190316,,2022-06-02,0.884,6666,1,2,894.9,training,-6,LH,0,1,view,no,-3,NA,NA,NA,NA,NA,view
0,190323,,2022-06-02,0.591,6666,1,2,165.0,training,-6,LH,0,0,view,no,-10,NA,NA,NA,NA,NA,view
0,190329,,2022-06-02,0.598,6666,1,2,180.79999999999998,training,-6,LH,0,1,view,no,-2,NA,NA,NA,NA,NA,view
0,190335,,2022-06-02,0.571,6666,1,2,396.7,training,-6,LH,0,0,view,no,-9,NA,NA,NA,NA,NA,view
0,190341,,2022-06-02,0.923,6666,1,2,182.4,training,-6,LH,0,0,view,no,-10,NA,NA,NA,NA,NA,view
0,190347,,2022-06-02,0.555,6666,1,2,329.7,training,-6,LH,0,0,view,no,-11,NA,NA,NA,NA,NA,view
0,190354,,2022-06-02,0.577,6666,1,2,63.9,training,-6,LH,0,1,view,no,-1,NA,NA,NA,NA,NA,view
0,190403,,2022-06-02,0.4,0,1,2,311.8,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA
0,190404,,2022-06-02,0.4,0,1,2,95.8,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA
0,190404,,2022-06-02,0.4,1,1,2,55.7,training,-6,LH,0,NA,view,yes,-10,NA,NA,NA,NA,NA,NA
0,190405,,2022-06-02,0.4,0,1,2,70.9,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA
0,190405,,2022-06-02,0.4,0,1,2,125.1,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA
0,190406,,2022-06-02,0.4,0,1,2,165.0,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA
0,190407,,2022-06-02,0.4,1,1,2,69.0,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA
0,190407,,2022-06-02,0.4,1,1,2,242.10000000000002,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA
0,190408,,2022-06-02,0.4,1,1,2,84.3,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA
0,190408,,2022-06-02,0.4,1,1,2,85.1,training,-6,LH,0,NA,view,yes,-3,NA,NA,NA,NA,NA,NA
0,190409,,2022-06-02,0.4,1,1,2,138.0,training,-6,LH,0,NA,view,yes,-3,NA,NA,NA,NA,NA,NA
0,190410,,2022-06-02,0.4,1,1,2,194.39999999999998,training,-6,LH,0,NA,view,yes,-10,NA,NA,NA,NA,NA,NA
0,190410,,2022-06-02,0.4,1,1,2,162.3,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA
0,190411,,2022-06-02,0.4,0,1,2,99.2,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA
0,190412,,2022-06-02,0.4,1,1,2,224.1,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA
0,190412,,2022-06-02,0.4,0,1,2,87.8,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA
0,190413,,2022-06-02,0.4,1,1,2,120.7,training,-6,LH,0,NA,view,yes,-10,NA,NA,NA,NA,NA,NA
0,190413,,2022-06-02,0.4,0,1,2,93.89999999999999,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA
0,190414,,2022-06-02,0.4,1,1,2,110.3,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA
0,190415,,2022-06-02,0.4,1,1,2,100.1,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA
0,190415,,2022-06-02,0.4,0,1,2,204.7,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA
0,190416,,2022-06-02,0.4,0,1,2,95.5,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA
0,190416,,2022-06-02,0.4,0,1,2,218.79999999999998,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA
0,190417,,2022-06-02,0.4,0,1,2,215.29999999999998,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA
0,190418,,2022-06-02,0.4,0,1,2,211.10000000000002,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA
0,190418,,2022-06-02,0.4,0,1,2,207.9,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA
0,190419,,2022-06-02,0.4,0,1,2,209.3,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA
0,190420,,2022-06-02,0.4,0,1,2,73.2,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA
0,190420,,2022-06-02,0.4,1,1,2,71.8,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA
0,190421,,2022-06-02,0.4,1,1,2,200.2,training,-6,LH,0,NA,view,yes,-1,NA,NA,NA,NA,NA,NA
0,190430,,2022-06-02,NA,NA,1,2,NA,training,-6,LH,0,1,view,no,NA,-6.3,-2.2,-10.5,17.2,17.0,NA
