trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,sure_option
0,110345,999999,2022-07-06,0.812,6666,0,7,363.3,training,-6,LH,0,1,view,no,-1,NA,NA,NA,NA,NA,view,NA
0,110352,999999,2022-07-06,0.811,6666,0,7,204.7,training,-6,LH,0,0,view,no,-11,NA,NA,NA,NA,NA,view,NA
0,110358,999999,2022-07-06,0.657,6666,0,7,273.0,training,-6,LH,0,1,view,no,-3,NA,NA,NA,NA,NA,view,NA
0,110404,999999,2022-07-06,0.524,6666,0,7,247.20000000000002,training,-6,LH,0,0,view,no,-9,NA,NA,NA,NA,NA,view,NA
0,110410,999999,2022-07-06,0.919,6666,0,7,480.3,training,-6,LH,0,0,view,no,-10,NA,NA,NA,NA,NA,view,NA
0,110416,999999,2022-07-06,0.97,6666,0,7,395.5,training,-6,LH,0,0,view,no,-11,NA,NA,NA,NA,NA,view,NA
0,110423,999999,2022-07-06,0.938,6666,0,7,312.40000000000003,training,-6,LH,0,1,view,no,-3,NA,NA,NA,NA,NA,view,NA
0,110429,999999,2022-07-06,0.777,6666,0,7,249.0,training,-6,LH,0,1,view,no,-1,NA,NA,NA,NA,NA,view,NA
0,110435,999999,2022-07-06,0.854,6666,0,7,294.3,training,-6,LH,0,0,view,no,-10,NA,NA,NA,NA,NA,view,NA
0,110442,999999,2022-07-06,0.826,6666,0,7,279.2,training,-6,LH,0,1,view,no,-2,NA,NA,NA,NA,NA,view,NA
0,110448,999999,2022-07-06,0.834,6666,0,7,281.3,training,-6,LH,0,0,view,no,-9,NA,NA,NA,NA,NA,view,NA
0,110454,999999,2022-07-06,0.656,6666,0,7,359.0,training,-6,LH,0,1,view,no,-2,NA,NA,NA,NA,NA,view,NA
0,110502,999999,2022-07-06,0.4,0,0,7,117.5,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA,-2
0,110503,999999,2022-07-06,0.4,0,0,7,222.5,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA,-11
0,110504,999999,2022-07-06,0.4,0,0,7,63.70000000000001,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
0,110504,999999,2022-07-06,0.4,0,0,7,206.2,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
0,110505,999999,2022-07-06,0.4,0,0,7,64.0,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
0,110505,999999,2022-07-06,0.4,0,0,7,222.89999999999998,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA,-10
0,110506,999999,2022-07-06,0.4,0,0,7,79.9,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA,-2
0,110507,999999,2022-07-06,0.4,0,0,7,62.1,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
0,110507,999999,2022-07-06,0.4,0,0,7,216.79999999999998,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
0,110508,999999,2022-07-06,0.4,0,0,7,382.0,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
0,110509,999999,2022-07-06,0.4,0,0,7,236.2,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA,-11
0,110509,999999,2022-07-06,0.4,1,0,7,237.3,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA,-10
0,110510,999999,2022-07-06,0.4,1,0,7,175.2,training,-6,LH,0,NA,view,yes,-1,NA,NA,NA,NA,NA,NA,-3
0,110511,999999,2022-07-06,0.4,1,0,7,123.1,training,-6,LH,0,NA,view,yes,-1,NA,NA,NA,NA,NA,NA,-11
0,110511,999999,2022-07-06,0.4,0,0,7,159.1,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA,-2
0,110512,999999,2022-07-06,0.4,1,0,7,155.0,training,-6,LH,0,NA,view,yes,-9,NA,NA,NA,NA,NA,NA,-10
0,110513,999999,2022-07-06,0.4,0,0,7,111.4,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
0,110513,999999,2022-07-06,0.4,1,0,7,91.7,training,-6,LH,0,NA,view,yes,-10,NA,NA,NA,NA,NA,NA,-1
0,110514,999999,2022-07-06,0.4,0,0,7,79.0,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA,-10
0,110514,999999,2022-07-06,0.4,1,0,7,63.0,training,-6,LH,0,NA,view,yes,-2,NA,NA,NA,NA,NA,NA,-11
0,110515,999999,2022-07-06,0.4,0,0,7,443.0,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA,-2
0,110516,999999,2022-07-06,0.4,1,0,7,207.1,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA,-9
0,110516,999999,2022-07-06,0.4,0,0,7,172.3,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
0,110517,999999,2022-07-06,0.4,1,0,7,158.79999999999998,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA,-1
0,110518,999999,2022-07-06,0.4,0,0,7,170.3,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA,-10
0,110518,999999,2022-07-06,0.4,1,0,7,174.8,training,-6,LH,0,NA,view,yes,-3,NA,NA,NA,NA,NA,NA,-2
0,110519,999999,2022-07-06,0.4,0,0,7,119.4,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA,-11
0,110520,999999,2022-07-06,0.4,1,0,7,175.1,training,-6,LH,0,NA,view,yes,-11,NA,NA,NA,NA,NA,NA,-9
0,110520,999999,2022-07-06,0.4,0,0,7,143.0,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
0,110521,999999,2022-07-06,0.4,1,0,7,158.9,training,-6,LH,0,NA,view,yes,-3,NA,NA,NA,NA,NA,NA,-3
0,110527,999999,2022-07-06,NA,NA,0,7,NA,training,-6,LH,0,1,view,no,NA,-6.1,-1.4,-8.5,17.3,17.0,NA,NA
1,110528,999999,2022-07-06,0.902,6666,4,7,463.4,training,-6,HL,0,1,img,no,-1,NA,NA,NA,NA,NA,img,NA
1,110534,999999,2022-07-06,0.542,6666,4,7,271.6,training,-6,HL,0,1,img,no,-2,NA,NA,NA,NA,NA,img,NA
1,110540,999999,2022-07-06,0.85,6666,4,7,389.1,training,-6,HL,0,0,img,no,-9,NA,NA,NA,NA,NA,img,NA
1,110546,999999,2022-07-06,0.825,6666,4,7,285.3,training,-6,HL,0,0,img,no,-11,NA,NA,NA,NA,NA,img,NA
1,110552,999999,2022-07-06,0.858,6666,4,7,316.7,training,-6,HL,0,0,img,no,-11,NA,NA,NA,NA,NA,img,NA
1,110558,999999,2022-07-06,0.786,6666,4,7,250.2,training,-6,HL,0,1,img,no,-1,NA,NA,NA,NA,NA,img,NA
1,110604,999999,2022-07-06,0.599,6666,4,7,268.29999999999995,training,-6,HL,0,1,img,no,-3,NA,NA,NA,NA,NA,img,NA
1,110609,999999,2022-07-06,0.713,6666,4,7,297.3,training,-6,HL,0,0,img,no,-10,NA,NA,NA,NA,NA,img,NA
1,110615,999999,2022-07-06,0.773,6666,4,7,677.6,training,-6,HL,0,1,img,no,-2,NA,NA,NA,NA,NA,img,NA
1,110621,999999,2022-07-06,0.825,6666,4,7,251.0,training,-6,HL,0,1,img,no,-3,NA,NA,NA,NA,NA,img,NA
1,110627,999999,2022-07-06,0.904,6666,4,7,242.10000000000002,training,-6,HL,0,0,img,no,-9,NA,NA,NA,NA,NA,img,NA
1,110633,999999,2022-07-06,0.792,6666,4,7,308.90000000000003,training,-6,HL,0,0,img,no,-10,NA,NA,NA,NA,NA,img,NA
