trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,091452,,2022-08-03,0,0.334,0.836,0,999,2,1000.0,0
1,091455,,2022-08-03,3,0.378,0.605,1,1,3,733.3,0
2,091457,,2022-08-03,7,0.29,0.892,1,1,7,553.5,0
3,091500,,2022-08-03,4,0.28,0.82,1,1,4,383.0,0
4,091502,,2022-08-03,5,0.284,0.981,1,1,5,456.1,0
5,091504,,2022-08-03,1,0.32,0.745,1,1,1,367.59999999999997,0
6,091506,,2022-08-03,1,0.355,0.76,0,0,6,557.1,0
7,091508,,2022-08-03,4,0.371,0.826,0,0,0,386.40000000000003,0
8,091510,,2022-08-03,0,0.281,0.65,1,1,0,927.6,0
9,091513,,2022-08-03,2,0.362,0.504,0,1,3,525.5,0
10,091515,,2022-08-03,4,0.33,0.926,0,0,6,442.3,0
11,091517,,2022-08-03,4,0.254,0.935,1,1,4,331.5,0
12,091519,,2022-08-03,1,0.264,0.818,1,1,1,370.7,0
13,091521,,2022-08-03,6,0.313,0.98,0,1,5,495.0,0
14,091524,,2022-08-03,3,0.378,0.698,0,0,7,525.4,0
15,091526,,2022-08-03,5,0.329,0.794,0,0,2,612.6,0
16,091528,,2022-08-03,7,0.259,0.786,1,1,7,381.29999999999995,0
17,091530,,2022-08-03,0,0.357,0.56,0,0,3,708.2,0
18,091532,,2022-08-03,5,0.349,0.547,1,1,5,343.3,0
19,091534,,2022-08-03,4,0.336,0.523,1,1,4,381.7,0
20,091536,,2022-08-03,1,0.372,0.81,1,1,1,291.0,0
21,091538,,2022-08-03,6,0.373,0.914,1,0,6,335.8,0
22,091540,,2022-08-03,4,0.365,0.688,0,1,0,557.9,0
23,091542,,2022-08-03,2,0.32,0.719,1,1,2,856.9,0
24,091545,,2022-08-03,4,0.292,0.812,1,1,4,473.1,0
25,091547,,2022-08-03,0,0.324,0.593,1,1,0,575.4,0
26,091549,,2022-08-03,2,0.392,0.948,1,1,2,637.9,0
27,091551,,2022-08-03,6,0.377,0.581,1,1,6,692.8,0
28,091554,,2022-08-03,7,0.323,0.664,0,0,5,577.6,0
29,091556,,2022-08-03,7,0.298,0.914,1,1,7,522.9,0
30,091558,,2022-08-03,1,0.355,0.974,1,1,1,384.0,0
31,091600,,2022-08-03,3,0.386,0.898,1,1,3,347.7,0
32,091602,,2022-08-03,1,0.357,0.678,1,1,1,537.3,0
33,091605,,2022-08-03,5,0.275,0.979,1,1,5,384.79999999999995,0
34,091607,,2022-08-03,2,0.258,0.708,1,1,2,519.5,0
35,091609,,2022-08-03,5,0.301,0.843,0,0,0,724.9,0
