trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,085838,1004,2023-05-03,NA,6666,8,9,21907.399999999998,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 1,085905,1004,2023-05-03,NA,6666,8,9,8306.1,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 2,085918,1004,2023-05-03,NA,6666,8,9,3919.5,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 3,085927,1004,2023-05-03,NA,6666,8,9,35456.899999999994,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 4,090007,1004,2023-05-03,NA,6666,8,9,5299.2,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 5,090017,1004,2023-05-03,NA,6666,8,9,5568.6,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 6,090028,1004,2023-05-03,NA,6666,8,9,2671.4,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 7,090035,1004,2023-05-03,NA,6666,8,9,1793.6000000000001,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 8,090042,1004,2023-05-03,NA,6666,8,9,2120.6,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,090049,1004,2023-05-03,NA,6666,8,9,4544.7,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 10,090059,1004,2023-05-03,NA,6666,8,9,9594.5,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 11,090113,1004,2023-05-03,NA,6666,8,9,2542.6000000000004,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
loop: 0_option: 0,090206,1004,2023-05-03,0.4,1,8,9,20781.199999999997,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,0,-12
loop: 0_option: 1,090227,1004,2023-05-03,0.4,1,8,9,6020.5,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-12
