trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,104825,1012,2024-01-03,4,0.293,0.942,0,0,6,664.1,0
1,104827,1012,2024-01-03,0,0.317,0.876,0,0,3,528.8000000000001,0
2,104830,1012,2024-01-03,2,0.319,0.598,1,0,2,529.1,0
3,104832,1012,2024-01-03,4,0.387,0.738,1,1,4,517.0,0
4,104834,1012,2024-01-03,7,0.272,0.516,1,1,7,417.5,0
5,104836,1012,2024-01-03,5,0.345,0.661,1,1,5,378.40000000000003,0
6,104838,1012,2024-01-03,0,0.331,0.924,1,1,0,333.0,0
7,104840,1012,2024-01-03,1,0.318,0.626,1,1,1,515.8000000000001,0
8,104842,1012,2024-01-03,4,0.285,0.51,1,1,4,361.59999999999997,0
9,104844,1012,2024-01-03,3,0.31,0.512,1,1,3,391.7,0
10,104845,1012,2024-01-03,7,0.398,0.897,1,1,7,351.5,0
11,104848,1012,2024-01-03,0,0.343,0.874,1,1,0,736.1999999999999,0
12,104850,1012,2024-01-03,6,0.307,0.838,1,1,6,367.59999999999997,0
13,104852,1012,2024-01-03,2,0.345,0.957,1,1,2,554.6999999999999,0
14,104855,1012,2024-01-03,1,0.301,0.826,1,1,1,326.2,0
15,104857,1012,2024-01-03,5,0.381,0.941,1,1,5,756.6,0
16,104859,1012,2024-01-03,1,0.377,0.568,0,0,4,378.3,0
17,104901,1012,2024-01-03,3,0.273,0.827,1,1,3,269.6,0
18,104903,1012,2024-01-03,0,0.391,0.822,1,1,0,280.6,0
19,104905,1012,2024-01-03,6,0.394,0.642,1,1,6,290.6,0
20,104907,1012,2024-01-03,5,0.369,0.943,1,1,5,324.29999999999995,0
21,104909,1012,2024-01-03,7,0.299,0.52,1,1,7,324.2,0
22,104911,1012,2024-01-03,1,0.368,0.692,1,1,1,305.70000000000005,0
23,104913,1012,2024-01-03,2,0.255,0.681,1,1,2,416.6,0
24,104915,1012,2024-01-03,4,0.355,0.964,1,1,4,235.1,0
25,104917,1012,2024-01-03,1,0.305,0.897,1,1,1,301.09999999999997,0
26,104919,1012,2024-01-03,2,0.282,0.985,1,1,2,248.79999999999998,0
27,104921,1012,2024-01-03,6,0.282,0.659,1,1,6,232.8,0
28,104923,1012,2024-01-03,0,0.32,0.73,1,1,0,253.0,0
29,104924,1012,2024-01-03,7,0.336,0.782,1,1,7,294.20000000000005,0
30,104926,1012,2024-01-03,3,0.289,0.626,1,1,3,234.7,0
31,104928,1012,2024-01-03,2,0.349,0.595,0,0,5,382.5,0
32,104930,1012,2024-01-03,0,0.345,0.697,1,1,0,386.79999999999995,0
33,104932,1012,2024-01-03,6,0.39,0.67,1,1,6,250.7,0
34,104934,1012,2024-01-03,1,0.33,0.598,1,1,1,329.0,0
35,104936,1012,2024-01-03,0,0.353,0.962,0,0,3,348.7,0
36,104938,1012,2024-01-03,3,0.349,0.633,0,1,4,243.79999999999998,0
37,104940,1012,2024-01-03,7,0.334,0.505,1,1,7,296.3,0
38,104941,1012,2024-01-03,5,0.287,0.623,1,1,5,334.4,0
39,104943,1012,2024-01-03,7,0.386,0.695,0,1,2,450.6,0
40,104945,1012,2024-01-03,3,0.277,0.907,0,0,1,494.40000000000003,0
41,104948,1012,2024-01-03,2,0.298,0.979,1,1,2,259.29999999999995,0
42,104950,1012,2024-01-03,7,0.328,0.553,1,1,7,292.1,0
43,104951,1012,2024-01-03,4,0.385,0.809,1,1,4,282.2,0
44,104953,1012,2024-01-03,0,0.364,0.531,1,1,0,264.1,0
45,104955,1012,2024-01-03,3,0.304,0.931,0,0,5,337.7,0
46,104957,1012,2024-01-03,3,0.283,0.767,0,0,6,332.1,0
47,104959,1012,2024-01-03,3,0.253,0.786,1,1,3,262.40000000000003,0
48,105001,1012,2024-01-03,6,0.302,0.677,1,1,6,278.1,0
49,105003,1012,2024-01-03,1,0.298,0.787,1,1,1,311.5,0
50,105005,1012,2024-01-03,0,0.372,0.786,1,1,0,304.59999999999997,0
51,105007,1012,2024-01-03,5,0.388,0.934,1,1,5,331.4,0
52,105009,1012,2024-01-03,4,0.258,0.5,1,1,4,229.8,0
53,105011,1012,2024-01-03,6,0.354,0.844,0,0,7,386.40000000000003,0
54,105013,1012,2024-01-03,2,0.304,0.93,1,1,2,270.7,0
55,105015,1012,2024-01-03,0,0.352,0.534,0,0,3,533.3,0
56,105017,1012,2024-01-03,3,0.27,0.544,1,1,3,258.79999999999995,0
57,105018,1012,2024-01-03,5,0.28,0.934,0,0,7,322.5,0
58,105021,1012,2024-01-03,2,0.375,0.533,1,1,2,256.0,0
59,105022,1012,2024-01-03,4,0.264,0.651,1,1,4,318.2,0
60,105024,1012,2024-01-03,3,0.253,0.535,0,0,1,413.6,0
61,105026,1012,2024-01-03,5,0.284,0.744,1,1,5,211.9,0
62,105028,1012,2024-01-03,6,0.357,0.677,1,1,6,290.3,0
63,105029,1012,2024-01-03,0,0.301,0.531,1,1,0,260.7,0
64,105031,1012,2024-01-03,0,0.275,0.713,1,0,0,410.8,0
65,105033,1012,2024-01-03,3,0.301,0.512,0,0,7,668.1,0
66,105035,1012,2024-01-03,1,0.372,0.94,1,1,1,365.70000000000005,0
67,105037,1012,2024-01-03,6,0.303,0.989,0,0,3,487.0,0
68,105040,1012,2024-01-03,5,0.3,0.792,1,1,5,267.29999999999995,0
69,105042,1012,2024-01-03,2,0.397,0.913,1,1,2,281.3,0
70,105044,1012,2024-01-03,4,0.251,0.647,1,1,4,251.3,0
71,105045,1012,2024-01-03,6,0.274,0.566,1,1,6,250.5,0
72,105047,1012,2024-01-03,4,0.373,0.856,1,1,4,230.6,0
73,105049,1012,2024-01-03,3,0.334,0.51,1,1,3,263.29999999999995,0
74,105051,1012,2024-01-03,6,0.371,0.789,1,1,6,236.4,0
75,105053,1012,2024-01-03,0,0.338,0.753,1,1,0,256.90000000000003,0
76,105055,1012,2024-01-03,7,0.351,0.812,1,1,7,184.79999999999998,0
77,105057,1012,2024-01-03,1,0.297,0.918,0,0,5,295.70000000000005,0
78,105059,1012,2024-01-03,1,0.303,0.971,1,1,1,369.7,0
79,105101,1012,2024-01-03,2,0.376,0.744,1,1,2,251.9,0
80,105103,1012,2024-01-03,5,0.313,0.586,1,1,5,306.90000000000003,0
81,105104,1012,2024-01-03,4,0.366,0.79,0,1,3,140.7,0
82,105106,1012,2024-01-03,6,0.348,0.639,1,1,6,254.4,0
83,105108,1012,2024-01-03,2,0.28,0.524,1,1,2,261.29999999999995,0
84,105110,1012,2024-01-03,4,0.272,0.794,1,1,4,262.79999999999995,0
85,105112,1012,2024-01-03,1,0.291,0.893,1,1,1,284.3,0
86,105114,1012,2024-01-03,0,0.319,0.718,0,1,7,201.8,0
