0.7373 	WARNING 	Speech-to-text recognition module for PocketSphinx is not available (use command `pip install SpeechRecognition` to get it). Transcription will be unavailable using that service this session.
0.7377 	WARNING 	Speech-to-text recognition using Google online services is not available (use command `pip install google-api-core google-auth google-cloud google-cloud-speech googleapis-common-protos` to get it). Transcription will be unavailable using that service this session.
1.6192 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.4035 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [3072, 1920]. Using actual size
5.8079 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A62530FA90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A626FB8D60>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([3072, 1920]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8085 	EXP 	window1: mouseVisible = True
5.8085 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.8086 	EXP 	window1: recordFrameIntervals = False
5.8902 	EXP 	window1: recordFrameIntervals = True
5.9837 	EXP 	Screen (0) actual frame rate measured at 118.14Hz
5.9838 	EXP 	window1: recordFrameIntervals = False
7.8467 	EXP 	Created coin = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='coin0000.png', interpolate=True, mask=None, maskParams=None, name='coin', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
7.8501 	EXP 	Created cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='cross', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
7.8546 	EXP 	Imported conditions.xlsx as conditions, 4 conditions, 2 params
7.8550 	EXP 	Created sequence: random, trialTypes=4, nReps=8, seed=None
7.8552 	EXP 	New trial (rep=0, index=0): {'side1': 3, 'side2': 7}
7.8839 	EXP 	cross: autoDraw = True
8.3741 	EXP 	coin: autoDraw = True
8.3979 	EXP 	cross: autoDraw = False
9.3534 	EXP 	New trial (rep=0, index=1): {'side1': 1, 'side2': 5}
9.3664 	EXP 	coin: autoDraw = False
9.3664 	EXP 	cross: autoDraw = False
9.3664 	EXP 	cross: autoDraw = True
9.8459 	EXP 	coin: autoDraw = True
9.8719 	EXP 	cross: autoDraw = False
10.8423 	EXP 	New trial (rep=0, index=2): {'side1': 2, 'side2': 6}
10.8495 	EXP 	coin: autoDraw = False
10.8495 	EXP 	coin: autoDraw = False
10.8495 	EXP 	cross: autoDraw = False
10.8495 	EXP 	cross: autoDraw = True
11.3400 	EXP 	coin: autoDraw = True
11.3574 	EXP 	cross: autoDraw = False
12.3344 	EXP 	New trial (rep=0, index=3): {'side1': 4, 'side2': 8}
12.3426 	EXP 	coin: autoDraw = False
12.3426 	EXP 	coin: autoDraw = False
12.3426 	EXP 	cross: autoDraw = False
12.3426 	EXP 	cross: autoDraw = True
12.8347 	EXP 	coin: autoDraw = True
12.8430 	EXP 	cross: autoDraw = False
13.8284 	EXP 	New trial (rep=1, index=0): {'side1': 4, 'side2': 8}
13.8356 	EXP 	coin: autoDraw = False
13.8356 	EXP 	coin: autoDraw = False
13.8356 	EXP 	cross: autoDraw = False
13.8356 	EXP 	cross: autoDraw = True
14.3281 	EXP 	coin: autoDraw = True
14.3374 	EXP 	cross: autoDraw = False
15.3224 	EXP 	New trial (rep=1, index=1): {'side1': 2, 'side2': 6}
15.3288 	EXP 	coin: autoDraw = False
15.3288 	EXP 	coin: autoDraw = False
15.3288 	EXP 	cross: autoDraw = False
15.3288 	EXP 	cross: autoDraw = True
15.8215 	EXP 	coin: autoDraw = True
15.8303 	EXP 	cross: autoDraw = False
16.8162 	EXP 	New trial (rep=1, index=2): {'side1': 3, 'side2': 7}
16.8236 	EXP 	coin: autoDraw = False
16.8236 	EXP 	coin: autoDraw = False
16.8236 	EXP 	cross: autoDraw = False
16.8236 	EXP 	cross: autoDraw = True
17.3159 	EXP 	coin: autoDraw = True
17.3242 	EXP 	cross: autoDraw = False
18.3103 	EXP 	New trial (rep=1, index=3): {'side1': 1, 'side2': 5}
18.3177 	EXP 	coin: autoDraw = False
18.3177 	EXP 	coin: autoDraw = False
18.3177 	EXP 	cross: autoDraw = False
18.3177 	EXP 	cross: autoDraw = True
18.8012 	EXP 	coin: autoDraw = True
18.8182 	EXP 	cross: autoDraw = False
19.7961 	EXP 	New trial (rep=2, index=0): {'side1': 1, 'side2': 5}
19.8025 	EXP 	coin: autoDraw = False
19.8025 	EXP 	coin: autoDraw = False
19.8025 	EXP 	cross: autoDraw = False
19.8025 	EXP 	cross: autoDraw = True
20.2957 	EXP 	coin: autoDraw = True
20.3039 	EXP 	cross: autoDraw = False
21.2903 	EXP 	New trial (rep=2, index=1): {'side1': 2, 'side2': 6}
21.2962 	EXP 	coin: autoDraw = False
21.2962 	EXP 	coin: autoDraw = False
21.2962 	EXP 	cross: autoDraw = False
21.2962 	EXP 	cross: autoDraw = True
21.7896 	EXP 	coin: autoDraw = True
21.7980 	EXP 	cross: autoDraw = False
22.7842 	EXP 	New trial (rep=2, index=2): {'side1': 4, 'side2': 8}
22.7914 	EXP 	coin: autoDraw = False
22.7914 	EXP 	coin: autoDraw = False
22.7914 	EXP 	cross: autoDraw = False
22.7914 	EXP 	cross: autoDraw = True
23.2836 	EXP 	coin: autoDraw = True
23.2920 	EXP 	cross: autoDraw = False
24.2777 	EXP 	New trial (rep=2, index=3): {'side1': 3, 'side2': 7}
24.2851 	EXP 	coin: autoDraw = False
24.2851 	EXP 	coin: autoDraw = False
24.2851 	EXP 	cross: autoDraw = False
24.2851 	EXP 	cross: autoDraw = True
24.7776 	EXP 	coin: autoDraw = True
24.7861 	EXP 	cross: autoDraw = False
25.7753 	EXP 	New trial (rep=3, index=0): {'side1': 3, 'side2': 7}
25.7799 	EXP 	coin: autoDraw = False
25.7799 	EXP 	coin: autoDraw = False
25.7799 	EXP 	cross: autoDraw = False
25.7799 	EXP 	cross: autoDraw = True
26.2719 	EXP 	coin: autoDraw = True
26.2802 	EXP 	cross: autoDraw = False
27.2658 	EXP 	New trial (rep=3, index=1): {'side1': 2, 'side2': 6}
27.2722 	EXP 	coin: autoDraw = False
27.2722 	EXP 	coin: autoDraw = False
27.2722 	EXP 	cross: autoDraw = False
27.2722 	EXP 	cross: autoDraw = True
27.7649 	EXP 	coin: autoDraw = True
27.7735 	EXP 	cross: autoDraw = False
28.0422 	DATA 	Keypress: q
28.4007 	DATA 	Mouse: Left button down, pos=(1937,811)
28.5007 	DATA 	Mouse:  Left button up, pos=(1937,811)
28.7180 	DATA 	Keypress: q
28.7598 	EXP 	New trial (rep=3, index=2): {'side1': 4, 'side2': 8}
28.7663 	EXP 	coin: autoDraw = False
28.7663 	EXP 	coin: autoDraw = False
28.7663 	EXP 	cross: autoDraw = False
28.7663 	EXP 	cross: autoDraw = True
29.1365 	DATA 	Keypress: escape
29.2592 	EXP 	coin: autoDraw = True
29.2675 	EXP 	cross: autoDraw = False
29.8134 	EXP 	window1: mouseVisible = True
