trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,All Responses,Final Response,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
0,0,0,0,"[[1, 57], [1, 110], [1, 163], [1, 215], [1, 268], [1, 320], [1, 373], [1, 426], [1, 478], [1, 530], [1, 582], [1, 635], [1, 688], [1, 742], [2.4, 803], [2.3, 864], [2.2, 922], [2.1, 977], [2.1, 1035], [2.1, 1091], [2.1, 1145], [2.1, 1198], [2.1, 1254], [2.2, 1311], [2.3, 1368], [2.4, 1424], [2.4, 1478], [2.5, 1536], [2.5, 1587], [2.5, 1642], [2.5, 1695], [2.5, 1749], [2.5, 1803], [2.5, 1857]]",2.5,None,None,15.4317101000006,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
1,0,1,0,"[[1, 51], [1, 103], [1, 156], [1, 207], [1, 258], [1, 311], [1, 362], [1, 413], [1, 467], [1, 521], [1, 573], [1, 626], [1, 678], [3.7, 734], [3.7, 791], [3.6, 846], [3.6, 905], [3.6, 960], [3.6, 1014], [3.6, 1067], [3.5, 1126], [3.2, 1183], [3.0, 1242], [2.9, 1302], [2.7, 1359], [2.5, 1419], [2.2, 1483], [1.9, 1543], [1.8, 1604], [1.8, 1659], [1.7, 1717], [1.7, 1771], [1.7, 1825], [1.7, 1879], [1.7, 1933], [1.7, 1986], [1.7, 2040], [1.7, 2094], [1.7, 2146], [1.7, 2198], [1.7, 2253], [1.7, 2306], [2.1, 2369], [2.2, 2427], [2.4, 2487], [2.6, 2549], [2.9, 2615], [3.3, 2680], [3.6, 2741], [3.7, 2802], [3.9, 2859], [4.0, 2920], [4.1, 2977], [4.2, 3034], [4.3, 3093], [4.3, 3146], [4.4, 3203], [4.4, 3257], [4.4, 3312], [4.4, 3364], [4.4, 3416], [4.1, 3475], [3.7, 3538], [3.3, 3603], [2.9, 3667], [2.4, 3732], [2.1, 3797], [1.9, 3857], [1.7, 3922], [1.6, 3981], [1.5, 4035], [1.5, 4092], [1.4, 4146], [1.4, 4203], [1.5, 4260], [1.7, 4318], [2.1, 4382], [2.3, 4442], [2.8, 4557], [3.1, 4618], [3.4, 4682], [3.8, 4746], [4.0, 4806], [4.0, 4864], [4.0, 4916], [4.0, 4969], [4.0, 5022], [4.0, 5075]]",4.0,None,None,20.50227670000004,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
2,0,2,0,"[[1, 53], [1, 108], [1, 161], [1, 214], [1, 265], [1, 318], [1, 372], [1, 424], [1, 479], [1, 532], [1, 585], [1.9, 646], [1.7, 706], [1.6, 765], [1.5, 823], [1.5, 878], [1.5, 933], [1.5, 986], [1.5, 1042], [1.6, 1100], [1.7, 1157], [1.7, 1214], [1.7, 1266], [1.7, 1321], [1.7, 1375], [1.7, 1431]]",1.7,None,None,30.215124000000287,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
3,0,3,0,"[[2.4, 56], [2.3, 111], [2.3, 170], [2.1, 226], [1.9, 285], [1.8, 345], [1.7, 402], [1.7, 456], [1.8, 509], [2.1, 571], [2.4, 636], [3.0, 700], [3.6, 766], [3.6, 822], [3.7, 881], [3.7, 935], [3.7, 988], [3.7, 1040], [3.7, 1093]]",3.7,None,None,38.05476700000054,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
4,0,4,0,"[[1, 53], [1, 107], [1, 159], [1, 211], [1, 265], [1, 316], [1, 369], [1, 421], [1, 474], [1, 528], [3.2, 587], [3.4, 647], [3.4, 706], [3.5, 765], [3.6, 822], [3.6, 878], [3.7, 936], [3.7, 990], [3.6, 1045], [2.9, 1107], [2.4, 1168], [2.0, 1230], [1.7, 1293], [1.5, 1354], [1.3, 1415], [1.2, 1475], [1.2, 1529], [1.2, 1581], [1.2, 1633], [1.2, 1687]]",1.2,None,None,42.59439610000027,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
5,0,5,0,"[[1.9, 55], [1.8, 115], [1.7, 172], [1.6, 229], [1.6, 288], [1.6, 342], [1.5, 399], [1.5, 453], [1.5, 507], [1.5, 560], [1.5, 613], [1.5, 667]]",1.5,None,None,48.08428350000031,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
6,0,6,0,"[[3.2, 55], [3.1, 113], [2.9, 169], [2.8, 229], [2.6, 287], [2.3, 347], [2.1, 408], [1.9, 464], [1.8, 518], [1.8, 575], [1.8, 628], [1.7, 685], [1.7, 738], [1.7, 793], [1.6, 849]]",1.6,None,None,52.10321350000049,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
7,0,7,0,"[[1, 53], [1, 104], [1, 159], [1, 212], [2.0, 272], [1.8, 330], [1.7, 384], [1.6, 443], [1.5, 497], [1.5, 554], [1.5, 608], [1.9, 667], [2.0, 727], [2.1, 785], [2.3, 841], [2.9, 903], [3.4, 964], [3.6, 1022], [3.8, 1081], [4.0, 1142], [4.3, 1203], [4.4, 1266], [4.4, 1320], [4.4, 1372], [4.4, 1425], [4.4, 1479]]",4.4,None,None,56.25993280000057,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
8,0,8,0,"[[2.2, 55], [2.3, 112], [2.4, 170], [2.4, 224], [2.5, 283], [2.7, 340], [2.8, 399], [3.0, 456], [3.1, 514], [3.2, 571], [3.4, 628], [3.4, 686], [3.5, 742], [3.5, 795], [3.5, 850], [3.5, 902], [3.5, 967], [3.5, 1018], [3.5, 1071], [3.5, 1124], [3.5, 1176], [3.5, 1230]]",3.5,None,None,61.39957570000024,None,,001,2022_Feb_05_1939,interactive-slider,2020.2.10,59.95311666281989,
,,,,"[[4.0, 49], [4.1, 116], [4.2, 183], [4.2, 249], [4.3, 321], [4.4, 390], [4.5, 469], [4.5, 544], [4.5, 603]]",4.5,None,None,66.52326090000042,None,,,,,,,
