side1,side2,learning.thisRepN,learning.thisTrialN,learning.thisN,learning.thisIndex,coin.started,coin.stopped,cross.started,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,6,0,0,0,1,10.943145400000503,11.981334700001753,10.446358800007147,10.95151800000167,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
1,5,0,1,1,0,15.383074600002146,16.38567360000161,14.891630700003589,15.391842400000314,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
3,7,0,2,2,2,16.885573000006843,17.888685700003407,16.394369900008314,16.893987000003108,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
4,8,0,3,3,3,18.387368399999104,19.391065700008767,17.897050500003388,18.40423300000839,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
4,8,1,0,4,3,19.898342200001935,None,19.399784599998384,19.906404499997734,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
1,5,1,1,5,0,21.39191400000709,22.394688600004883,20.901066999998875,21.4087686999992,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
3,7,1,2,6,2,22.894607800000813,23.89873830000579,22.403004400010104,22.902906500006793,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
2,6,1,3,7,1,24.405280600010883,25.407226399998763,23.90732559999742,24.41358810001111,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
3,7,2,0,8,2,25.907730699997046,26.91081000000122,25.41604080000252,25.91606960000354,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
2,6,2,1,9,1,27.41783530000248,None,26.918646000005538,27.426068700006,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
4,8,2,2,10,3,28.921101600004476,28.42074010000215,28.42074010000215,28.921101600004476,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
1,5,2,3,11,0,30.414045800003805,31.416549000001396,29.923168699999223,30.43088090000674,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
3,7,3,0,12,2,31.916583800004446,32.91891730000498,31.425216100004036,31.924956700007897,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
1,5,3,1,13,0,33.4189641999983,34.42101130000083,32.927304800003185,33.4273847000004,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
2,6,3,2,14,1,34.92084030000842,35.922942600009264,34.4298540000018,34.929920599999605,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
4,8,3,3,15,3,36.422976100002415,37.425589600010426,35.932225199998356,36.4398940000101,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
2,6,4,0,16,1,37.92643669999961,38.92899960000068,37.43450010000379,37.934124799998244,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
4,8,4,1,17,3,39.436334400001215,None,38.93879369999922,39.44452020000608,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
1,5,4,2,18,0,40.93044140000711,41.93235040000582,40.43864230001054,40.93883100000676,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
3,7,4,3,19,2,42.432869900003425,43.43469239999831,41.94096350000473,42.44179630000144,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
2,6,5,0,20,1,43.935258800003794,44.93846380000468,43.443287100002635,43.94282470000326,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
3,7,5,1,21,2,45.44553620000079,None,44.94622589999926,45.45368620000954,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
1,5,5,2,22,0,46.939302900005714,47.941672700006166,46.447916000004625,46.947551300007035,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
4,8,5,3,23,3,48.4501631000021,None,47.95047080000222,48.4501631000021,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
1,5,6,0,24,0,49.954100000002654,49.453527899997425,49.453527899997425,49.96092260000296,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
4,8,6,1,25,3,51.44644670000707,52.450643000003765,50.95530770000187,51.455004300005385,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
3,7,6,2,26,2,52.956361400007154,53.95890150000923,52.45845200000622,52.964929399997345,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
2,6,6,3,27,1,54.45977590000257,55.46114050000324,53.96830659999978,54.46872109999822,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
2,6,7,0,28,1,55.96162240000558,56.963167399997474,55.47016180001083,55.9695051000017,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
4,8,7,1,29,3,57.46365970000625,58.46558790000563,56.97214420000091,57.47221580000769,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
1,5,7,2,30,0,58.96482670000114,59.970674600001075,58.473835800003144,58.97373900000821,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
3,7,7,3,31,2,60.47703419999743,61.47882840000966,59.98032060000696,60.48544479999691,,001,2023-01-09_16h36.39.223,untitled,2022.1.4,119.54143904809058,
